zh_TW,zh-CN,en-EN,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
如欲修正或刪除出金帳戶，請聯繫客服人員進行處理。,,,,,,,,,,,,,,,bankAccountDetail.successStatusTip
未過審原因,未过审原因,Reasons for no review,เหตุผลที่ไม่มีการตรวจสอบ,24,21,レビューなしの理由,9,5,검토가없는 이유,8,5,Lý do không xem xét,19,21,bankAccountDetail.failStatusTip
申請修改,申请修改,Apply to modify,ใช้กับการแก้ไข,14,15,修正に応募します,8,4,수정하려면 적용하십시오,12,4,Áp dụng để sửa đổi,18,15,"bankAccountDetail.applyModifyButton,bankAccountDetail.fixDataButton"
銀行賬戶/卡管理,,,,,,,,,,,,,,,bankAccountManager.appBarTitle
"您目前沒有任何出金帳戶，請下方或
右上角「+」按鈕新增後
進行審核。","您目前没有任何出金帐户，请下方或
右上角「+」按钮新增后
进行审核。","You do not have any gold account at present, please below or
After the ""+"" button in the upper right corner is added
Examine.","คุณไม่มีบัญชีทองคำในปัจจุบันโปรดด้านล่างหรือ
หลังจากเพิ่มปุ่ม ""+"" ที่มุมขวาบน
พิจารณา.",86,125,"現在、ゴールドアカウントはありません。以下または
右上隅の「+」ボタンが追加された後
診る。",46,34,"현재 금 계정이 없으며 아래 또는
오른쪽 상단의 ""+""버튼이 추가 된 후
조사하다.",46,34,"Hiện tại bạn không có tài khoản vàng nào, xin vui lòng bên dưới hoặc
Sau khi nút ""+"" ở góc trên bên phải được thêm
Nghiên cứu.",126,125,bankAccountManager.emptyTip
新增出金帳戶,新增出金帐户,Added gold account,เพิ่มบัญชีทองคำ,15,18,ゴールドアカウントを追加しました,16,6,골드 계정이 추가되었습니다,14,6,Đã thêm tài khoản vàng,22,18,bankAccountManager.addBankAccount
審核中,审核中,under review,ภายใต้การทบทวน,14,12,レビュー中,5,3,검토 중,4,3,đang được xem xét,17,12,"bankAccountManager.bankStatusAudit,paymentHistory.statusAudit,agentUserPaymentHistoryList.underAudit"
,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,0,#VALUE!,#VALUE!,#VALUE!,bankAccountManager.bankStatusSuccess
未過審,未过审,Not over trial,ไม่เกินการทดลอง,15,14,試用過剰ではありません,11,3,과도한 재판이 아닙니다,12,3,Không quá thử,13,14,bankAccountManager.bankStatusFail
確認變更,,,,,,,,,,,,,,,changePassword.modifyButton
BOLL,,,,,,,,,,,,,,,"chartBollSetting.appBarTitle,chartSetting.indicatorBoll,futuresChart.indicatorBoll"
指標,,,,,,,,,,,,,,,"chartBollSetting.index,chartKdjSetting.index,chartMacdSetting.index"
默認設置,,,,,,,,,,,,,,,"chartBollSetting.defaultSetting,chartKdjSetting.defaultSetting,chartMaSetting.defaultSetting,chartMacdSetting.defaultSetting,chartRsiSetting.defaultSetting,chartWrSetting.defaultSetting"
儲存,储存,store,เก็บ,4,5,お店,2,2,가게,2,2,cửa hàng,8,5,"chartBollSetting.modifyButton,chartKdjSetting.modifyButton,chartMaSetting.modifyButton,chartMacdSetting.modifyButton,chartRsiSetting.modifyButton,chartWrSetting.modifyButton,addAgentReferralCodePopup.confirmButton"
修改成功,,,,,,,,,,,,,,,"chartBollSetting.modifySuccess,chartKdjSetting.modifySuccess,chartMaSetting.modifySuccess,chartMacdSetting.modifySuccess,chartRsiSetting.modifySuccess,chartTypeSetting.modifySuccess,chartWrSetting.modifySuccess,orderModify.modifySuccess,positionModify.modifySuccess,editAgentReferralCode.editSuccess,agentTransactionSetting.editSuccess,agentUsersDetail.editSuccess,agentTransactionSettingSearch.editSuccess"
修改失敗,,,,,,,,,,,,,,,"chartBollSetting.modifyFail,chartKdjSetting.modifyFail,chartMaSetting.modifyFail,chartMacdSetting.modifyFail,chartRsiSetting.modifyFail,chartTypeSetting.modifyFail,chartWrSetting.modifyFail,agentTransactionSetting.editFailed,agentUsersDetail.editFailed,agentTransactionSettingSearch.editFailed"
您確定要放棄修改嗎？,,,,,,,,,,,,,,,"chartBollSetting.cancelModify,chartKdjSetting.cancelModify,chartMaSetting.cancelModify,chartMacdSetting.cancelModify,chartRsiSetting.cancelModify,chartWrSetting.cancelModify,orderModify.cancelModify,positionModify.cancelModify"
UP,,,,,,,,,,,,,,,chartBollSetting.indexUp
DN,,,,,,,,,,,,,,,chartBollSetting.indexDn
MB,,,,,,,,,,,,,,,chartBollSetting.indexMb
時間週期,,,,,,,,,,,,,,,"chartBollSetting.timePeriod,chartMacdSetting.timePeriod"
帶寬,,,,,,,,,,,,,,,chartBollSetting.bandWidth
KDJ,,,,,,,,,,,,,,,"chartKdjSetting.appBarTitle,chartSetting.indicatorKdj,futuresChart.indicatorKdj"
K,,,,,,,,,,,,,,,chartKdjSetting.indexK
D,,,,,,,,,,,,,,,chartKdjSetting.indexD
J,,,,,,,,,,,,,,,chartKdjSetting.indexJ
計算週期,,,,,,,,,,,,,,,chartKdjSetting.calculatePeriod
移動平均週期1,,,,,,,,,,,,,,,chartKdjSetting.maPeriod1
移動平均週期2,,,,,,,,,,,,,,,chartKdjSetting.maPeriod2
MA,,,,,,,,,,,,,,,"chartMaSetting.appBarTitle,chartMaSetting.indexMa,chartSetting.indicatorMa,futuresChart.indicatorMa"
MACD,,,,,,,,,,,,,,,"chartMacdSetting.appBarTitle,chartSetting.indicatorMacd,futuresChart.indicatorMacd"
DIF,,,,,,,,,,,,,,,chartMacdSetting.indexDif
DEA,,,,,,,,,,,,,,,chartMacdSetting.indexDea
短週期,,,,,,,,,,,,,,,chartMacdSetting.shortPeriod
長週期,,,,,,,,,,,,,,,chartMacdSetting.longPeriod
RSI,,,,,,,,,,,,,,,"chartRsiSetting.appBarTitle,chartRsiSetting.indexRsi,chartSetting.indicatorRsi,futuresChart.indicatorRsi"
週期,,,,,,,,,,,,,,,"chartRsiSetting.period,chartWrSetting.period"
圖表設置,,,,,,,,,,,,,,,chartSetting.appBarTitle
技術指標,,,,,,,,,,,,,,,chartSetting.indicatorIndex
圖表類型,,,,,,,,,,,,,,,"chartSetting.chartType,chartTypeSetting.appBarTitle"
WR,,,,,,,,,,,,,,,"chartSetting.indicatorWr,chartWrSetting.appBarTitle,chartWrSetting.indexWr,futuresChart.indicatorWr"
蠟燭圖,,,,,,,,,,,,,,,chartTypeSetting.kLineChart
分時圖,,,,,,,,,,,,,,,chartTypeSetting.lineIndexChart
立即驗證,立即验证,confirm right now,ยืนยันตอนนี้,12,17,今すぐ確認してください,11,4,지금 확인하십시오,9,4,xác nhận ngay bây giờ,21,17,"emailBind.verifyImmediately,phoneBind.confirmButton"
請輸入信箱,请输入信箱,Please enter the mailbox,กรุณากรอกกล่องจดหมาย,20,24,メールボックスを入力してください,16,5,사서함을 입력하십시오,11,5,Vui lòng nhập hộp thư,21,24,emailBind.emailHint
已成功驗證信箱,已成功验证信箱,Successful verification mailbox,กล่องจดหมายยืนยันที่ประสบความสำเร็จ,35,31,検証メールボックスが成功しました,16,7,성공적인 확인 사서함,11,7,Hộp thư xác minh thành công,27,31,emailBind.bindEmailSuccess
缺少身分證正面,,,,,,,,,,,,,,,fileVerify.errorIdForwardEmpty
缺少身分證反面,,,,,,,,,,,,,,,fileVerify.errorIdBackwardEmpty
請上傳護照,,,,,,,,,,,,,,,fileVerify.errorPassportEmpty
缺少駕照正面,,,,,,,,,,,,,,,fileVerify.errorDrivingLicenseForwardEmpty
缺少駕照反面,,,,,,,,,,,,,,,fileVerify.errorDrivingLicenseBackwardEmpty
請上傳戶口名簿/居留證,,,,,,,,,,,,,,,fileVerify.errorAccountBookOrResidentPermitEmpty
"下一步, 身分驗證",,,,,,,,,,,,,,,fileVerify.nextStepIdCard
點擊上傳或拍攝身份證明文件正面,点击上传或拍摄身份证明文件正面,Click to upload or shoot the front of the identification document,คลิกเพื่ออัปโหลดหรือถ่ายภาพด้านหน้าของเอกสารประจำตัว,52,65,クリックして識別ドキュメントの前面をアップロードまたは撮影します,32,15,식별 문서의 전면을 업로드하거나 촬영하려면 클릭하십시오.,31,15,Nhấp để tải lên hoặc bắn mặt trước của tài liệu nhận dạng,57,65,fileVerify.tapUploadIdCardForward
點擊上傳或拍攝身份證明文件反面,点击上传或拍摄身份证明文件反面,Click to upload or shoot the identity document reverse,คลิกเพื่ออัปโหลดหรือถ่ายภาพเอกสารตัวตนย้อนกลับ,46,54,クリックしてアイデンティティドキュメントを逆にアップロードまたは撮影します,37,15,클릭하여 Identity Document Reverse를 업로드하거나 촬영하십시오,45,15,Nhấp để tải lên hoặc chụp ngược tài liệu nhận dạng,50,54,fileVerify.tapUploadIdCardBackward
點擊上傳或拍攝護照,,,,,,,,,,,,,,,fileVerify.tapUploadPassport
點擊上傳或拍攝駕照正面,,,,,,,,,,,,,,,fileVerify.tapUploadDrivingLicenseForward
點擊上傳或拍攝駕照反面,,,,,,,,,,,,,,,fileVerify.tapUploadDrivingLicenseBackward
點擊上傳或拍攝戶口名簿/居留證,,,,,,,,,,,,,,,fileVerify.tapUploadAccountBookOrResidentPermit
步驟2 - 文件驗證(2/4),,,,,,,,,,,,,,,fileVerify.stepHeaderTitle
共1題,,,,,,,,,,,,,,,"fileVerify.stepHeaderSubtitle,handIdCardVerify.stepHeaderSubtitle,proveIdVerify.stepHeaderSubtitle"
請確保文件內容顯示您的全名、出生日期、證件開立日期,请确保文件内容显示您的全名、出生日期、证件开立日期,"Please make sure the file content shows your full name, date of birth, and document opening date",โปรดตรวจสอบให้แน่ใจว่าเนื้อหาไฟล์แสดงชื่อเต็มวันเกิดและวันที่เปิดเอกสารของคุณ,77,96,ファイルのコンテンツにフルネーム、生年月日、および文書の開設日が表示されていることを確認してください,50,25,"파일 콘텐츠에 이름, 생년월일 및 문서 개방일이 표시되는지 확인하십시오.",40,25,"Vui lòng đảm bảo nội dung tệp hiển thị tên đầy đủ, ngày sinh và ngày mở tài liệu của bạn",88,96,fileVerify.contentTip
合格文件,合格文件,Qualified file,ไฟล์ที่ผ่านการรับรอง,20,14,資格のあるファイル,9,4,자격을 갖춘 파일,9,4,Tệp đủ điều kiện,16,14,fileVerify.qualifiedFile
"照片清晰
解析度高
證件四角皆有入鏡",,,,,,,,,,,,,,,fileVerify.qualifiedFileTip
不合格文件,不合格文件,Unqualified file,ไฟล์ที่ไม่มีเงื่อนไข,20,16,資格のないファイル,9,5,자격이없는 파일,8,5,Tập tin không đủ tiêu chuẩn,27,16,fileVerify.failedFile
"照片模糊、反光
解析度過低
證件四角被裁切",,,,,,,,,,,,,,,fileVerify.failedFileTip
重新上傳,重新上传,re-upload,อัปเดตใหม่,10,9,再アップロード,7,4,재 포장,4,4,Tải lại,7,9,imagePicker.reUpload
加入照片,加入照片,Add photos,เพิ่มรูปภาพ,11,10,写真を追加します,8,4,사진 추가,5,4,Thêm ảnh,8,10,imagePicker.sheet.title
拍照,拍照,Photograph,ถ่ายภาพ,7,10,写真,2,2,사진,2,2,ảnh chụp,8,10,imagePicker.sheet.camera
從相簿中選取,从相簿中选取,Select from the album,เลือกจากอัลบั้ม,15,21,アルバムから選択します,11,6,앨범에서 선택하십시오,11,6,Chọn từ album,13,21,imagePicker.sheet.gallery
創建價格提醒,,,,,,,,,,,,,,,futuresAlert.appBarTitle
當,,,,,,,,,,,,,,,futuresAlert.titleTip
達到以下價格時提醒我,,,,,,,,,,,,,,,futuresAlert.alertWhenPrice
提醒列表,,,,,,,,,,,,,,,futuresAlert.alertList
創建提醒成功,,,,,,,,,,,,,,,futuresAlert.createSuccess
已成功刪除提醒,,,,,,,,,,,,,,,futuresAlert.removeSuccess
最高,最高,Highest,มากที่สุด,9,7,最高,2,2,제일 높은,5,2,Cao nhất,8,7,"futuresChartFullScreen.highPrice,futuresChart.highPrice,positionDetail.highPrice"
開盤,,,,,,,,,,,,,,,"futuresChartFullScreen.openPrice,futuresChart.openPrice,positionDetail.openPrice"
最低,最低,lowest,ต่ำที่สุด,9,6,最低,2,2,가장 낮습니다,7,2,thấp nhất,9,6,"futuresChartFullScreen.lowPrice,futuresChart.lowPrice,positionDetail.lowPrice"
已加入個人自訂品種,,,,,,,,,,,,,,,"futuresChartFullScreen.addFavoriteSuccess,futuresDetail.addFavoriteSuccess"
已移除個人自訂品種,,,,,,,,,,,,,,,"futuresChartFullScreen.removeFavoriteSuccess,futuresDetail.removeFavoriteSuccess"
自選編輯,,,,,,,,,,,,,,,futuresCustomEdit.appBarTitle
變更成功,,,,,,,,,,,,,,,futuresCustomEdit.changeSuccess
全選,,,,,,,,,,,,,,,"futuresCustomEdit.selectAll,positions.selectAll"
刪除,删除,delete,ลบ,2,6,消去,2,2,삭제,2,2,xóa bỏ,6,6,"futuresCustomEdit.delete,agentReferralCodeList.descriptionPopup.deleteButton,agentReferralCodeFunctionPopup.deleteButton"
拖動,,,,,,,,,,,,,,,futuresCustomEdit.drag
價格漲跌幅,价格涨跌幅,Price rise and fall,การเพิ่มขึ้นและลดราคา,21,19,価格の上昇,5,5,가격 상승 및 하락,10,5,Tăng giá và giảm,16,19,futuresDetail.dataTab.priceChangeRate
5分鐘,,,,,,,,,,,,,,,futuresDetail.dataTab.minute5
1小時,,,,,,,,,,,,,,,"futuresDetail.dataTab.hour1,futuresChart.chartHour1"
今日,,,,,,,,,,,,,,,futuresDetail.dataTab.today
價格變化區間,价格变化区间,Price change,การเปลี่ยนแปลงราคา,18,12,価格の変化,5,6,가격 변화,5,6,Thay đổi giá,12,12,futuresDetail.dataTab.priceChangeValue
當前價格,当前价格,Current price,ราคาปัจจุบัน,12,13,現在の価格,5,4,현재 가격,5,4,Giá hiện tại,12,13,"futuresDetail.dataTab.nowPrice,orderDetail.lastPriceTitle,positionDetail.lastPriceTitle"
最低價,最低价,Minimum price,ราคาต่ำสุด,10,13,最低価格,4,3,최소 가격,5,3,Giá tối thiểu,13,13,futuresDetail.dataTab.lowPrice
最高價,最高价,Highest price,ราคาสูงสุด,10,13,最高価格,4,3,최고 가격,5,3,Giá cao nhất,12,13,futuresDetail.dataTab.highPrice
成交量,成交量,Transaction volume,ปริมาณธุรกรรม,13,18,トランザクションボリューム,13,3,거래량,3,3,Khối lượng giao dịch,20,18,"futuresDetail.dataTab.volume,futuresChart.volume"
我的委託,,,,,,,,,,,,,,,futuresDetail.bottomSheet.header
尚無持倉,,,,,,,,,,,,,,,"futuresDetail.bottomSheet.positionEmptyTip,futuresDetail.bottomSheet.orderEmptyTip,agentFundingPositions.emptyTip"
委買量,,,,,,,,,,,,,,,futuresDetail.buyInVolume
委賣量,,,,,,,,,,,,,,,futuresDetail.sellOutVolume
縮起,,,,,,,,,,,,,,,futuresDetail.recentTransactionFoldLabel
展開,,,,,,,,,,,,,,,"futuresDetail.recentTransactionUnfoldLabel,futuresContract.tableValueUnfold"
市場關閉－僅接受掛單交易,市场关闭－仅接受挂单交易,Market shutdown -only accepting orders transactions,การปิดตลาด -รับการทำธุรกรรมคำสั่งซื้อเท่านั้น,45,51,市場のシャットダウン - 注文取引を受け入れます,24,12,시장 셧다운 -주문 거래 수락 전용,19,12,Tắt thị trường -Chấp nhận các đơn đặt hàng giao dịch,52,51,"futuresDetail.marketClose,futuresTransaction.marketClose"
行情,行情,quotations,ใบเสนอราคา,10,10,市場,2,2,시장,2,2,trích dẫn,9,10,futuresDetail.tabChart
數據,数据,Data,ข้อมูล,6,4,データ,3,2,데이터,3,2,Dữ liệu,7,4,futuresDetail.tabData
詳情,详情,Detail,รายละเอียด,10,6,詳細,2,2,세부 사항,5,2,Chi tiết,8,6,futuresDetail.tabContract
交易中,,,,,,,,,,,,,,,futuresDetail.inTradingTime
僅接受掛單,,,,,,,,,,,,,,,futuresDetail.onlyLimitOrder
全倉模式,,,,,,,,,,,,,,,futuresDetail.fullWarehouse
"此交易為全倉交易，虧損金額會超過保證金金額。

當持續虧損導致賬戶達到強平線時，其他訂單將會被陸續強平，賬戶資金將全部虧損！

建議您設定止盈和止損價格，能夠更有效率的控制資金情況！",,,,,,,,,,,,,,,futuresDetail.fullWarehouseTipContent
全倉模式說明,,,,,,,,,,,,,,,futuresDetail.fullWarehouseTipTitle
收盤,,,,,,,,,,,,,,,futuresChart.closePrice
漲跌值,,,,,,,,,,,,,,,futuresChart.changeValue
漲跌幅,,,,,,,,,,,,,,,futuresChart.changeRate
加載失敗,,,,,,,,,,,,,,,futuresChart.loadFailTitle
無法獲取到資料,,,,,,,,,,,,,,,futuresChart.loadFailContent
更多,更多,More,มากกว่า,7,4,もっと,3,2,더,1,2,Hơn,3,4,"futuresChart.more,agentOverview.more"
1分,,,,,,,,,,,,,,,futuresChart.chartMinute1
5分,,,,,,,,,,,,,,,futuresChart.chartMinute5
15分,,,,,,,,,,,,,,,futuresChart.chartMinute15
30分,,,,,,,,,,,,,,,futuresChart.chartMinute30
周線,,,,,,,,,,,,,,,futuresChart.chartWeek1
月線,,,,,,,,,,,,,,,futuresChart.chartMonth1
日線,,,,,,,,,,,,,,,futuresChart.chartDay
{unit}的{name}價格,,,,,,,,,,,,,,,futuresContract.title
週一 ~ 週日,,,,,,,,,,,,,,,futuresContract.tradeTimeWeekendOpen
週一 ~ 週五,,,,,,,,,,,,,,,futuresContract.tradeTimeWeekendClose
{start} - 隔日{end},,,,,,,,,,,,,,,futuresContract.tradeTimeIntervalOutDay
{start} - {end},,,,,,,,,,,,,,,futuresContract.tradeTimeIntervalSameDay
單筆交易數量,单笔交易数量,Number of single transactions,จำนวนธุรกรรมเดียว,17,29,単一のトランザクションの数,13,6,단일 거래 수,7,6,Số lượng giao dịch đơn lẻ,25,29,futuresContract.transactionLotsTitle
0.01-90.00 {unit},,,,,,,,,,,,,,,futuresContract.transactionLotsValue
當前槓桿,当前杠杆,Current leverage,เลเวอเรจปัจจุบัน,16,16,現在のレバレッジ,8,4,현재 레버리지,7,4,Đòn bẩy hiện tại,16,16,futuresContract.currentLever
下單可調節,下单可调节,Adjust the order,ปรับคำสั่งซื้อ,14,16,注文を調整します,8,5,순서를 조정하십시오,10,5,Điều chỉnh thứ tự,17,16,futuresContract.currentLeverValueTip
合約乘數,,,,,,,,,,,,,,,futuresContract.contractMultiplier
最大總持倉數量,最大总持仓数量,The maximum total holding of positions,ตำแหน่งสูงสุดของตำแหน่ง,23,38,位置の最大総保持,8,7,최대 총 포지션 보유,11,7,Tổng số vị trí nắm giữ tối đa,29,38,futuresContract.maxPositionTitle
隔夜費,隔夜费,Overnight fee,ค่าธรรมเนียมค้างคืน,19,13,一晩料金,4,3,밤새 요금,5,3,Phí qua đêm,11,13,"futuresContract.rollover,positionDetail.rollover,transactionHistoryDetail.rollover,agentFundingPositionsDetail.rolloverTitle"
收取時間,收取时间,Charging time,เวลาในการชาร์จ,14,13,充電時間,4,4,충전 시간,5,4,Thời gian sạc,13,13,futuresContract.rolloverTime
交易時段,交易时段,Transaction period,ระยะเวลาการทำธุรกรรม,20,18,トランザクション期間,10,4,거래 기간,5,4,Thời gian giao dịch,19,18,futuresContract.transactionTimeTitle
當前時段,当前时段,Current period,งวดปัจจุบัน,11,14,当期,2,4,현재 기간,5,4,Giai đoạn hiện tại,18,14,futuresContract.transactionTimeCurrent
下個時段,下个时段,Next time,ครั้งหน้า,9,9,次の時間,4,4,다음번,3,4,Lần tới,7,9,futuresContract.transactionTimeNext
查看更多時段,,,,,,,,,,,,,,,futuresContract.viewAllTransactionTime
"(匯率波動較大時, 將會進行調整)",,,,,,,,,,,,,,,futuresContract.exchangeRateTip
折疊,,,,,,,,,,,,,,,futuresContract.tableValueFold
去入金,,,,,,,,,,,,,,,futuresMarket.toDeposit
變更最愛列表成功,,,,,,,,,,,,,,,futuresSearch.changeFavoriteSuccess
輸入交易品種 / 英文名稱,输入交易品种 / 英文名称,Enter a trading variety / name,ป้อนความหลากหลาย / ชื่อการซื้อขาย,33,30,トランザクションの品種 /英語名を入力します,22,13,트랜잭션 품종 / 영어 이름을 입력하십시오,23,13,Nhập một loại giao dịch / tên,29,30,"futuresSearch.searchInputHint,futuresMarketContent.searchHint"
品種,,,,,,,,,,,,,,,futuresSearch.futuresType
添加,,,,,,,,,,,,,,,futuresSearch.add
查無相關品種,,,,,,,,,,,,,,,futuresSearch.searchEmptyTip
尚未輸入限價,,,,,,,,,,,,,,,futuresTransaction.errorLimitPriceEmpty
限價須在限制範圍內,,,,,,,,,,,,,,,futuresTransaction.errorLimitPriceOutRange
止損須在限制範圍內,,,,,,,,,,,,,,,"futuresTransaction.errorStopLossOutRange,orderModify.errorStopLossOutRange,positionModify.errorStopLossOutRange"
止盈須在限制範圍內,,,,,,,,,,,,,,,"futuresTransaction.errorStopProfitOutRange,orderModify.errorStopProfitOutRange,positionModify.errorStopProfitOutRange"
方向,方向,direction,ทิศทาง,6,9,方向,2,2,방향,2,2,chiều hướng,11,9,"futuresTransaction.tradingDirection,orderDetail.tradingDirection,positionDetail.tradingDirection"
手數,,,,,,,,,,,,,,,"futuresTransaction.limitOrderPopup.lots,futuresTransaction.marketOrderPopup.lots,futuresTransaction.lots,positionDetail.lots"
限價,,,,,,,,,,,,,,,futuresTransaction.limitOrderPopup.limitPrice
商品,商品,Commodity,สินค้า,6,9,商品,2,2,상품,2,2,Hàng hóa,8,9,"futuresTransaction.limitOrderPopup.futuresNameTitle,futuresTransaction.marketOrderPopup.futuresNameTitle,agentProfitSharing.filterPopup.itemsTitle"
類型,类型,type,พิมพ์,5,4,タイプ,3,2,유형,2,2,gõ phím,7,4,"futuresTransaction.limitOrderPopup.type,futuresTransaction.marketOrderPopup.type,paymentHistory.type,agentUserPaymentHistoryList.typesTitle,agentProfitSharing.typesTitle"
建立日期,建立日期,Establishment date,วันที่จัดตั้ง,13,18,設立日,3,4,설립 날짜,5,4,Ngày thành lập,14,18,"futuresTransaction.limitOrderPopup.createDate,futuresTransaction.marketOrderPopup.createDate,orderDetail.createDate,positionDetail.createDate,transactionHistoryDetail.createDate"
開倉價,开仓价,Opening price,ราคาเปิด,8,13,オープニング価格,8,3,오프닝 가격,6,3,Giá mở,6,13,"futuresTransaction.marketOrderPopup.openPrice,orders.openPriceTitle,positionDetail.tableOpenPriceTitle,positions.openPositionPrice,agentFundingPositionsList.openingPriceTitle"
市價,市价,market price,ราคาตลาด,8,12,市場価格,4,2,시장 가격,5,2,Giá thị trường,15,12,"futuresTransaction.marketOrderPopup.marketPrice,agentProfitList.typesMarketPrice"
掛單設定成功,挂单设定成功,Success setting,การตั้งค่าความสำเร็จ,20,15,成功設定,4,6,성공 설정,5,6,Cài đặt thành công,18,15,futuresTransaction.createLimitOrderSuccess
開倉成功,开仓成功,Successful opening,การเปิดที่ประสบความสำเร็จ,25,18,オープニングが成功しました,13,4,성공적인 오프닝,8,4,Mở thành công,13,18,futuresTransaction.createMarketOrderSuccess
交易保證金,,,,,,,,,,,,,,,"futuresTransaction.totalCostPopup.transactionMargin,positionDetail.contractMargin,transactionHistoryDetail.contractMargin"
交易綜合費,,,,,,,,,,,,,,,"futuresTransaction.totalCostPopup.transactionAllFee,positionDetail.fee,transactionHistoryDetail.fee"
合計支付,,,,,,,,,,,,,,,futuresTransaction.totalCostPopup.transactionTotalTitle
明細,,,,,,,,,,,,,,,futuresTransaction.transactionAmountDetail
需付保證金,需付保证金,You need to pay a deposit,คุณต้องจ่ายเงินมัดจำ,20,25,デポジットを支払う必要があります,16,5,보증금을 지불해야합니다,12,5,Bạn cần phải trả tiền đặt cọc,29,25,futuresTransaction.needMargin
市價單,市价单,Market price list,รายการราคาตลาด,14,17,市場価格表,5,3,시장 가격 목록,8,3,Bảng giá thị trường,19,17,futuresTransaction.marketOrderTag
限價單,,,,,,,,,,,,,,,futuresTransaction.limitOrderTag
當價格滿足條件時{action},,,,,,,,,,,,,,,futuresTransaction.limitSelectorTitle
請輸入掛單價格,请输入挂单价格,Please enter the hanging order price,กรุณากรอกราคาคำสั่งซื้อแขวน,27,36,ハンギングオーダー価格を入力してください,20,7,매달린 주문 가격을 입력하십시오,17,7,Vui lòng nhập giá đặt hàng,26,36,futuresTransaction.limitOrderInputTip
當前僅可接受掛單交易,,,,,,,,,,,,,,,futuresTransaction.lockLimitOrderToast
預估虧損,,,,,,,,,,,,,,,"futuresTransaction.estimateLoss,orderModify.estimateLoss,positionModify.estimateLoss"
預估盈利,,,,,,,,,,,,,,,"futuresTransaction.estimateProfit,orderModify.estimateProfit,positionModify.estimateProfit"
槓桿,杠杆,lever,คันโยก,6,5,レバー,3,2,지렛대,3,2,đòn bẩy,7,5,futuresTransaction.lever
交易手數,,,,,,,,,,,,,,,futuresTransaction.transactionLots
價值,价值,value,ค่า,3,5,価値,2,2,값,1,2,giá trị,7,5,futuresTransaction.futuresValuePrefix
確認賣出,,,,,,,,,,,,,,,futuresTransaction.confirmSellOut
確認買入,,,,,,,,,,,,,,,futuresTransaction.confirmBuyIn
請先上傳手持證件照,,,,,,,,,,,,,,,handIdCardVerify.errorPictureEmpty
完成身份證明上傳,完成身份证明上传,Complete identity certificate upload,อัปโหลดใบรับรองข้อมูลประจำตัวที่สมบูรณ์,39,36,完全な身元証明書のアップロード,15,8,완전한 신분증 인증서 업로드,15,8,Hoàn thành tải lên chứng chỉ nhận dạng,38,36,handIdCardVerify.completeButton
"點擊上傳或拍攝
手持身分證或護照的自拍照","点击上传或拍摄
手持身分证或护照的自拍照","Click to upload or shoot
Selfie of holding ID card or passport","คลิกเพื่ออัปโหลดหรือถ่ายภาพ
เซลฟี่ของการถือบัตรประจำตัวหรือหนังสือเดินทาง",73,62,"クリックしてアップロードまたは撮影します
IDカードまたはパスポートを保持するセルフィー",44,20,"업로드하거나 촬영하려면 클릭하십시오
신분증 또는 여권을 보유하는 셀카",38,20,"Bấm để tải lên hoặc bắn
Selfie của giữ thẻ ID hoặc hộ chiếu",59,62,handIdCardVerify.tapUpload
"手持證件照自拍上傳時,須符合以下條件","手持证件照自拍上传时,须符合以下条件",uploading  selfiea passport conditions must met,การอัปโหลดเงื่อนไขหนังสือเดินทาง selfiea,40,47,ハンドヘルド証明書がアップロードされるとき、次の条件を満たす必要があります,37,18,핸드 헬드 인증서가 업로드되면 다음 조건을 충족해야합니다.,32,18,tải lên các điều kiện hộ chiếu tự sướng phải đáp ứng,52,47,handIdCardVerify.pictureTipTitle
請保留頭頂至下巴完整輪廓,请保留头顶至下巴完整轮廓,Please keep the full outline of the head to the lower chin,โปรดเก็บโครงร่างเต็มของหัวไปที่คางล่าง,38,58,頭の完全な輪郭を下のあごまで保管してください,22,12,머리의 전체 개요를 하단 턱으로 유지하십시오.,25,12,Vui lòng giữ đường viền đầy đủ của đầu đến cằm dưới,51,58,handIdCardVerify.pictureTipContent1
身份證置於臉旁勿遮住臉部,身份证置于脸旁勿遮住脸部,Do not cover your face by your face,อย่าปิดหน้าใบหน้าของคุณ,23,35,顔を顔で覆わないでください,13,12,얼굴로 얼굴을 덮지 마십시오,15,12,Không che mặt bằng khuôn mặt của bạn,36,35,handIdCardVerify.pictureTipContent2
手指請勿遮住證件文字,手指请勿遮住证件文字,Do not cover the text of your fingers,อย่าครอบคลุมข้อความของนิ้วมือของคุณ,35,37,指のテキストをカバーしないでください,18,10,손가락의 텍스트를 덮지 마십시오,17,10,Không bao gồm văn bản của ngón tay của bạn,42,37,handIdCardVerify.pictureTipContent3
步驟4 - 證明身份(4/4),,,,,,,,,,,,,,,handIdCardVerify.stepHeaderTitle
身份驗證,,,,,,,,,,,,,,,identifyVerification.appBarTitle
上傳送審資料成功,,,,,,,,,,,,,,,identifyVerification.uploadSuccess
"證明身份流程完成, 恭喜獲得
{award}",,,,,,,,,,,,,,,identifyVerificationResult.title
